Location,Bedrooms,Bathrooms,Amenities,Price
"muthaiga, 01, Muthaiga",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 430,000
 / mont"
Lavington,3,3,[]," 130,000
 / mont"
Upper Hill,1,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 130,000
 / mont"
"Convent Road, Lavington",,,"['Balcony', 'Garden', 'Parking', 'Wheelchair Access']"," 500,000
 / mont"
"Waiyaki Way, Westlands., Westlands Area, Westlands",,,[]," 7,500
 / mont"
"Runda, Westlands",5,5,"['Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
Karen,5,5,"['En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 270,000
 / mont"
"general mathenge, Westlands Area, Westlands",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 408,000
 / mont"
"Kangundo rd, 047, Kileleshwa",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 230,000
 / mont"
"Waiyaki Way, Westlands",,,"['Backup Generator', 'CCTV', 'Lift/Elevator', 'Parking']"," 652,200
 / mont"
"Ngala, Parklands, Westlands",2,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
"Mushroom Gardens, Kiambu Road",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"Westlands Area, Westlands",3,2,"['Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 130,000
 / mont"
"Miotoni road, Karen",4,4,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 400,000
 / mont"
"Denis plit Road, Kilimani",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 160,000
 / mont"
"Rosslyn, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 540,000
 / mont"
"Kiambu road, 01, Kiambu Road",4,4,"['BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 105,000
 / mont"
"Runda, Westlands",6,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 500,000
 / mont"
"Two Rivers, Runda, Westlands",4,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
Lavington,5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Runda, Westlands",5,6,"['Balcony', 'En Suite', 'Garden', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
Karen,,,"['Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking']"," 177,650
 / mont"
Kilimani,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"Kiambu road, 01, Kiambu Road",3,3,"['Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 200,000
 / mont"
"Loresho, Westlands",4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 700,000
 / mont"
"Runda paradise, 01, Runda, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Lower Kabete, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
"kitisuru, Kitisuru, Westlands",2,2,"['Electric Fence', 'En Suite', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Wheelchair Access']"," 40,000
 / mont"
Karen,3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Bongani road, Karen",5,5,"['Balcony', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 440,000
 / mont"
"Westlands Road, Westlands Area, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 195,000
 / mont"
Mombasa Road,,,"['Backup Generator', 'Parking']"," 433,000
 / mont"
"General Mathenge, Westlands",4,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 300,000
 / mont"
"Spring valley, Spring Valley, Westlands",5,5,"['BBQ', 'Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 220,000
 / mont"
Karen,4,4,"['En Suite', 'Garden', 'Parking', 'Serviced']"," 250,000
 / mont"
"Panafrican Insurance Avenue, Runda, Westlands",2,1,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",Price not communicated
Kileleshwa,3,4,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 130,000
 / mont"
"Runda, Westlands",5,,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Westlands Area, Westlands",2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 170,000
 / mont"
Lavington,5,,"['BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 350,000
 / mont"
"Karen road, Karen",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Nyari, Westlands",,,[]," 380,000
 / mont"
"kilimani, Kilimani",2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 70,000
 / mont"
"Loresho, Westlands",4,3,"['Alarm', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 140,000
 / mont"
"peponi road, Westlands Area, Westlands",3,4,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 225,000
 / mont"
"Fifth ngong road, Upper Hill",,,"['Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 110
 / mont"
Mombasa Road,,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Service Charge Included']"," 600,000
 / mont"
"kileleshwa, Kileleshwa",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 130,000
 / mont"
"Riverside, Westlands",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 320,000
 / mont"
Lavington,5,5,"['Alarm', 'Backup Generator', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 270,000
 / mont"
"Brookside, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 250,000
 / mont"
Lavington,,,"['Balcony', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 430,000
 / mont"
"Lower Kabete, Westlands",,,[]," 463,173
 / mont"
"General Mathenge, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Uthiru Junction, Uthiru",3,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 55,000
 / mont"
Muthaiga,5,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 550,000
 / mont"
"Lower Kabete, Westlands",,,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Lift/Elevator', 'Parking']"," 298,200
 / mont"
"kileleshwa, Kileleshwa",3,4,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
Buruburu,,,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 20,000
 / mont"
"Kitisuru, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Spring valley, Spring Valley, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 250,000
 / mont"
"Spring Valley, Westlands Area, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 280,000
 / mont"
"Kiambu Road, Runda, Westlands",4,4,"['Backup Generator', 'Balcony', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 440,000
 / mont"
"Rhapta Road, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 377,000
 / mont"
Kileleshwa,4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 330,000
 / mont"
"Westlands Area, Westlands",4,,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 270,000
 / mont"
"Nyari, Westlands",5,5,"['Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Wheelchair Access']"," 490,000
 / mont"
"Muchai Drive, Kilimani",,,"['Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 155,000
 / mont"
"Kyuna estate, Kyuna, Westlands",5,4,"['Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters']"," 540,000
 / mont"
Lavington,4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Runda, 01, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Redhill road, Nyari, Westlands",2,2,"['Alarm', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Wheelchair Access']"," 155,000
 / mont"
"Runda, 01, Gigiri, Westlands",4,4,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Muthangari, Off James Gichuru, Lavington",4,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
"Waiyaki Way, Westlands",,,"['Aircon', 'Alarm', 'Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 120
 / mont"
Kilimani,3,,"['Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 250,000
 / mont"
"Hardy area, Karen",4,4,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
Lavington,5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Thigiri, Westlands",2,,[],Price not communicated
"gigiri, 01, Gigiri, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking']"," 420,000
 / mont"
"Muringa road, Kilimani",3,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 150,000
 / mont"
"Rhapta rd, 0086, Rhapta Road, Westlands",2,3,"['Alarm', 'BBQ', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 240,000
 / mont"
"Mandera road, Kileleshwa, Moon Valley Dubai Style Apartments",1,1,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 120,000
 / mont"
"Runda, 01, Westlands",3,3,"['BBQ', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 200,000
 / mont"
"Near total petrol station, Karen",4,4,"['Balcony', 'En Suite', 'Garden']"," 130,000
 / mont"
"thigiri, Thigiri, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 376,000
 / mont"
"Rosslyn, Westlands",5,6,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 650,000
 / mont"
"New Kitisuru, Kitisuru, Westlands",1,,"['Aircon', 'Balcony', 'CCTV', 'En Suite', 'Parking', 'Serviced']"," 40,000
 / mont"
"Off Langata road, Near Nairobi Academy, Karen",5,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 550,000
 / mont"
"Spring Valley, Westlands",4,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 200,000
 / mont"
"kileleshwa, Kilimani",3,2,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 90,000
 / mont"
"kiambu road, 01, Kiambu Road",4,4,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Tom Mboya street, Nairobi CBD",,,"['Balcony', 'Lift/Elevator']"," 650,000
 / mont"
"Brookside, Westlands",4,2,"['Parking', 'Shopping Centre']"," 150,000
 / mont"
"Glory rd, Runda, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"westlands, 0215n, Westlands Area, Westlands",3,3,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 100,000
 / mont"
"Lower Kabete, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 580,000
 / mont"
"General Mathenge Road, Westlands Area, Westlands",2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 360,000
 / mont"
"Kilimani, KES 10,500- PER DAY",,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']",Price not communicated
"Off Muthaiga rd, 2, Muthaiga",4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
Muthaiga,4,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 463,302
 / mont"
"Riverside, Westlands",1,1,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 150,000
 / mont"
Upper Hill,,,"['Aircon', 'Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 110
 / mont"
"Westlands Area, Westlands",,,[]," 168,960
 / mont"
"ROSSLYN, Rosslyn, Westlands",4,4,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 780,000
 / mont"
"Riverside, Westlands",4,5,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Lower Kabete, 01, Kitisuru, Westlands",6,6,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 600,000
 / mont"
"Riverside, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"Westlands Area, Westlands",,,['Parking']," 160
 / mont"
"Westlands Area, Westlands",1,1,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 80,000
 / mont"
"Runda, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 100,000
 / mont"
"Loresho, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 730,000
 / mont"
"Westlands, Westlands Area",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 95,000
 / mont"
Kilimani,3,3,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 110,000
 / mont"
Muthaiga,3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 400,000
 / mont"
"Westlands Area, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Riverside, Westlands",1,1,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
